equipment,exercise_id,name,link
Dumbbell,dumbbell-lateral-raise,"Dumbbell Lateral Raise Shoulders / Dumbbell A Dumbbell Lateral Raise is an effective exercise for targeting the lateral deltoid muscles, which are located on the sides of your shoulders. Here’s how you can perform the exercise correctly: Setup: Stand with feet shoulder-width apart. This provides a stable base. Keep a slight bend in your knees for balance. Hold a dumbbell in each hand: Your arms should hang down by your sides with your palms facing your body (neutral grip). The dumbbells should be close to your thighs. Engage your core: Tighten your abdominal muscles to maintain a stable torso throughout the movement. Execution: Begin the movement by raising your arms out to the sides until they are at shoulder height. Keep a slight bend in your elbows to reduce stress on your joints. Your palms should face the floor as you lift the weights. Control the movement: Lift the weights in a controlled manner, avoiding momentum or swinging. Focus on using your lateral deltoid muscles to lift the weights. Pause briefly at the top: Once your arms reach shoulder height, pause for a brief moment. Ensure your shoulders are level and your body remains still. Lower the dumbbells slowly: Lower the weights back to the starting position in a controlled manner. Maintain the slight bend in your elbows and avoid letting the dumbbells drop quickly.",https://www.jefit.com/exercises/32/dumbbell-lateral-raise
Dumbbell,dumbbell-incline-bench-press,"Dumbbell Incline Bench Press Chest / Dumbbell The Dumbbell Incline Bench Press is an effective exercise for targeting the upper portion of the pectoral muscles, as well as the shoulders and triceps. Here are the steps to perform the exercise correctly: Set Up: Adjust the bench to an incline position (30-45 degrees). Sit on the bench with a dumbbell in each hand resting on your thighs. Use your legs to help lift the dumbbells as you lie back on the bench, keeping the dumbbells close to your chest. Starting Position: Lie back on the bench with your feet flat on the floor for stability. Position the dumbbells at the sides of your chest, with your palms facing forward. Your elbows should be at a 90-degree angle. Execution: Push the dumbbells up toward the ceiling by extending your elbows and pressing the weights together until your arms are fully extended. Ensure your wrists remain straight and in line with your forearms. At the top of the movement, the dumbbells should be directly above your shoulders, and your arms should be nearly straight but not locked. Lowering the Weight: Slowly lower the dumbbells back to the starting position with controlled movement. Your elbows should descend until the dumbbells are level with your chest. Breathing: Inhale as you lower the dumbbells. Exhale as you press the dumbbells up.",https://www.jefit.com/exercises/31/dumbbell-incline-bench-press
Dumbbell,dumbbell-seated-shoulder-press,"Dumbbell Seated Shoulder Press Shoulders / Dumbbell The Dumbbell Seated Shoulder Press is an excellent exercise for building strength and size in your shoulder muscles, particularly the deltoids, as well as engaging the triceps and upper chest. Here’s a step-by-step guide on how to perform it correctly: Setting Up Choose the Right Weight: Select a pair of dumbbells that allows you to perform the exercise with good form for the desired number of repetitions. Adjust the Bench: Set a bench to an upright position with a backrest for support. Ensure it is stable and secure. Performing the Exercise Sit on the Bench: Sit on the bench with your back firmly against the backrest. Place your feet flat on the floor for stability. Position the Dumbbells: Lift the dumbbells to shoulder height with a pronated grip (palms facing forward). Your elbows should be bent at about a 90-degree angle, with the dumbbells just outside your shoulders. Engage Your Core: Tighten your core muscles to stabilize your body throughout the movement. Press the Dumbbells Upward: Exhale as you press the dumbbells upward until your arms are fully extended above your head. Keep the dumbbells under control and avoid locking your elbows at the top. Lower the Dumbbells: Inhale as you slowly lower the dumbbells back to the starting position at shoulder height. Maintain control to avoid letting the weights drop quickly.",https://www.jefit.com/exercises/48/dumbbell-seated-shoulder-press
Dumbbell,dumbbell-bench-press,"Dumbbell Bench Press Chest / Dumbbell The Dumbbell Bench Press is an effective exercise for targeting the chest, shoulders, and triceps. Here’s a step-by-step guide to performing the Dumbbell Bench Press correctly: Set Up: Sit on the edge of the bench with a dumbbell in each hand, resting them on your thighs. Carefully lie back on the bench, bringing the dumbbells up to chest level as you do so. Your feet should be flat on the floor. Starting Position: Position the dumbbells to the sides of your chest with your palms facing forward (pronated grip). Your elbows should be bent at about a 90-degree angle and your upper arms should be parallel to the floor. Executing the Press: Press the dumbbells upward by extending your arms, bringing the weights directly above your chest. Keep the dumbbells steady and your wrists straight. At the top of the movement, your arms should be fully extended but not locked, and the dumbbells should be close together without touching. End Position: Hold the top position for a brief moment to maximize the contraction in your chest muscles. Return to Starting Position: Lower the dumbbells slowly back to the starting position, keeping your elbows at about a 45-degree angle to your torso. Ensure the weights return to chest level, just to the sides of your chest.",https://www.jefit.com/exercises/26/dumbbell-bench-press
Dumbbell,dumbbell-alternating-bicep-curl,Dumbbell Alternating Bicep Curl Biceps / Dumbbell Steps : 1.) Start by standing with your feet shoulders width apart. 2.) Pick up the barbells using a palm inward grip. 3.) Curl each barbell alternating each time. 4.) Repeat for the desired amount of reps.,https://www.jefit.com/exercises/116/dumbbell-alternating-bicep-curl
Dumbbell,dumbbell-one-arm-row,"Dumbbell One-Arm Row Back / Dumbbell Steps : 1.) Start by kneeling over the side of a bench placing the knee and hand of the supporting arm on the bench and then position the opposite foot on the floor. 2.) Grab a dumbbell from the floor opposite of the side supporting the body and pull the dumbbell up slowly to your chest, feeling a stretch in your back until it almost makes contact with your chest. 3.) Hold this position for a count, then return slowly back to the starting position. 4.) Repeat for as many reps and sets as desired and switch with the opposite arms.",https://www.jefit.com/exercises/90/dumbbell-one-arm-row
Dumbbell,dumbbell-alternating-hammer-curl,"Dumbbell Alternating Hammer Curl Biceps / Dumbbell The alternate hammer curl exercise uses a hammering (up and down) motion to isolate the biceps and to build bigger arms. Steps : 1.) Start off standing with your feet shoulder-width apart, keeping your knees slightly bent and your abs drawn in tightly. 2.) Grab a dumbbell in each hand with your palms facing inward and extend your arms out at the sides of your body. 3.) While keeping your elbows locked in at your sides, slowly lift your left arm in an arc motion towards your left shoulder, isolating the bicep and squeeze the muscle. 4.) Hold for a count and return back to the starting position. 5.) Repeat the same steps with your right arm for as many reps and sets as desired. Tips : 1.) Refrain from turning your wrists during this exercise.",https://www.jefit.com/exercises/114/dumbbell-alternating-hammer-curl
Dumbbell,dumbbell-fly,"Dumbbell Fly Chest / Dumbbell The Dumbbell Fly is a great exercise for targeting the chest muscles, particularly the pectoralis major. Here’s how to perform it correctly: Setup: Lie back on a flat bench with your feet flat on the floor. Hold a dumbbell in each hand with a neutral grip (palms facing each other). Extend your arms above your chest with a slight bend in your elbows. The dumbbells should be positioned directly above your shoulders. Starting Position: Keep your back flat against the bench and your head resting on the bench. Your arms should be extended but not locked, with a slight bend in your elbows to reduce joint strain. Engage Your Core: Tighten your abdominal muscles to stabilize your torso throughout the exercise. Lower the Dumbbells: Lower the dumbbells in a wide arc out to the sides, keeping the slight bend in your elbows throughout the movement. Continue lowering the dumbbells until your elbows are at or slightly below chest level. You should feel a stretch in your chest muscles. Press the Dumbbells: Reverse the motion, bringing the dumbbells back up in the same wide arc, keeping the slight bend in your elbows. Squeeze your chest muscles at the top of the movement, bringing the dumbbells back to the starting position.",https://www.jefit.com/exercises/41/dumbbell-fly
Dumbbell,dumbbell-incline-curl,"Dumbbell Incline Curl Biceps / Dumbbell The incline dumbbell curl exercise uses an incline bench to change your body's position as you perform the bicep curl exercise. Steps : 1.) Start by taking an incline bench and adjusting it to a 45-degree incline angle, then grabbing dumbbells in each and sitting down with your back against he bench with your feet rested on the floor in front of you. 2.) Once in position let your arms hang down at your sides and while keeping your elbows straight, raise the dumbbells up towards your head, squeezing your biceps on the way up. 3.) In the top position, hold for a count and then return back to the starting position. 4.) Return back to the starting position and repeat for as many reps and sets as desired.",https://www.jefit.com/exercises/106/dumbbell-incline-curl
Dumbbell,dumbbell-tricep-extension,"Dumbbell Tricep Extension Triceps / Dumbbell The dumbbell standing triceps extension works the tricep muscles by extending your arms behind your neck. Steps : 1.) Start by standing with your feet shoulder width apart, keeping your back straight and your abs drawn in. 2.) Hold a dumbbell in both hands, with your palms facing up. 3.) Raise the dumbbell over your head and slowly lower the dumbbell in an arc behind your head and hold for a count. 4.) Slowly raise the dumbbell back up to the starting position.",https://www.jefit.com/exercises/247/dumbbell-tricep-extension
Dumbbell,dumbbell-shoulder-shrug,"Dumbbell Shoulder Shrug Back / Dumbbell The Dumbbell Shoulder Shrug is an excellent exercise for targeting the upper trapezius muscles. Here's how to perform it correctly: Starting Position: Stand with your feet shoulder-width apart. Hold a dumbbell in each hand with your arms fully extended by your sides, palms facing your body (neutral grip). Keep your back straight, chest up, and head facing forward. Your shoulders should be relaxed. Engage Your Core: Tighten your abdominal muscles to maintain stability and support your lower back throughout the exercise. Shrug Your Shoulders: Lift your shoulders straight up towards your ears as high as you can. Imagine trying to touch your shoulders to your ears. Avoid rolling your shoulders backward or forward; the movement should be straight up and down. Keep your arms straight, allowing the dumbbells to rise naturally as your shoulders lift. Pause: Briefly pause at the top of the movement, squeezing your trapezius muscles. Lower Your Shoulders: Slowly lower your shoulders back to the starting position in a controlled manner.",https://www.jefit.com/exercises/42/dumbbell-shoulder-shrug
Dumbbell,dumbbell-hammer-curl-,"Dumbbell Hammer Curl Forearms / Dumbbell The dumbbell hammer curl exercise uses a neutral grip to isolate the forearm muscles and increase muscle size. Steps : 1.) Start by standing with your feet shoulder-width apart, keeping your knees slightly bent and your abs tight in. 2.) Grab a dumbbell in each hand with your palms facing in (neutral grip), extend your arms so that they are at the sides of your body and keep your elbows locked as this will be your starting position. 3.) Slowly lift your arms up in an arc towards your shoulders, isolating your biceps and continue until you reach the top position. 4.) Hold for a count then return back to the starting position and repeat for as many reps and sets as desired. Tips : 1.) Refrain from turning your wrists during this exercise.",https://www.jefit.com/exercises/108/dumbbell-hammer-curl-
Dumbbell,dumbbell-concentration-curl,"Dumbbell Concentration Curl Biceps / Dumbbell The dumbbell concentration curl exercise limits you range of motion and concentrates on isolating the bicep muscle. Steps : 1.) Start by sitting on the end of a flat bench with your feet flat and your legs spread in a V position. 2.) Grab a dumbbell in one of your hands with a palms up grip, placing this arm in between your legs and up against your inner thigh just above your knee. 3.) Slowly curl the weight up towards your chest, squeezing your bicep on the motion upward and once you reach the top, hold the position for a count. 4.) Return back to the starting position and repeat for as many reps and sets as desired. 5.) Switch arms and repeat the same steps.",https://www.jefit.com/exercises/107/dumbbell-concentration-curl
Dumbbell,dumbbell-incline-fly,"Dumbbell Incline Fly Chest / Dumbbell The dumbbell incline fly exercise is a chest sculpting exercise that helps build a bigger and stronger chest. Steps : 1.) Start by lying on an incline bench set to 45-degrees and holding a dumbbell in each hand. 2.) Lift the dumbbells up and over your chest, extending your arms fully as this will be your starting position. 3.) While keeping a slight bend in your elbows, slowly bring the dumbbells towards each other in an arc motion, squeezing your chest muscles in the process. 4.) Hold this position for a count then slowly return back to the starting position. 5.) Repeat for as many reps and sets as desired.",https://www.jefit.com/exercises/165/dumbbell-incline-fly
Dumbbell,dumbbell-lunge,"Dumbbell Lunge Upper Legs / Dumbbell The dumbbell lunge exercise helps strengthen and build the legs through the use of dumbbells. Steps : 1.) Start by grabbing a dumbbell in each hand with your feet about hip-width apart and toes facing forward as this will be your starting position. 2.) Once in position, take a step forward (about 2 to 3 feet), keeping your abs tightly drawn and and your upper body straight. Avoid letting the knee ride beyond the toes. 3.) Continue forward and slowly lower one knee down towards the ground and keeping the other knee bent at a 90 degree angle, not letting the back knee touch the ground. 4.) Slowly lower one knee down as if kneeling while keeping your other knee bent at a 90 degree angle, do not let your knee touch the ground. 5.) Hold the position for a count then return back up to the starting position. Tips : 1.) Refrain from putting the pressure of your body on one knee as this can cause imbalance and incorrectly performing this exercise. 2.) The knee you are leaning forward on should not move beyond the toe of this foot.",https://www.jefit.com/exercises/136/dumbbell-lunge
Dumbbell,dumbbell-front-raise,"Dumbbell Front Raise Shoulders / Dumbbell Steps : 1.) To begin this exercise; start off standing up straight holding dumbbells in each hand resting at your pelvis. 2.) Lift the dumbbells up and out so that they are extended in front of your shoulders, at your shoulder level, holding onto this position for a few seconds. 3.) Return back to the starting position. 4.) Repeat this exercise for as many repetitions as needed",https://www.jefit.com/exercises/413/dumbbell-front-raise
Dumbbell,dumbbell-seated-bicep-curl,"Dumbbell Seated Bicep Curl Biceps / Dumbbell The dumbbell bicep curl uses both arms at the same time to build stronger arms. Steps : 1.) Begin by sitting up straight with your feet shoulder-width apart, abs tight, knees slightly bent and a dumbbell in each hand with a palms up grip. 2.) While holding the dumbbells, extend your arms at the side of your body, then slowly lift your arms up towards your chest until your forearms touch your biceps. 3.) Isolate the bicep and hold this position for a count. 4.) Return back to the starting position and repeat for as many reps and sets as desired. Tips : 1.) Refrain from swinging your arms during this exercise.",https://www.jefit.com/exercises/100/dumbbell-seated-bicep-curl
Dumbbell,dumbbell-seated-arnold-press,"Dumbbell Seated Arnold Press Shoulders / Dumbbell The Dumbbell Seated Arnold Press is a variation of the traditional shoulder press that targets the deltoid muscles, with an emphasis on the anterior deltoids. It also engages the triceps and the upper chest. Here’s a step-by-step guide to performing it correctly: Starting Position: Begin with your arms bent, palms facing your body (like at the top of a bicep curl), and the dumbbells at shoulder level. Sit up straight with your chest out, core engaged, and back firmly pressed against the bench. Execution: Start the movement by pressing the dumbbells overhead. As you press, rotate your palms outward so that they face forward at the top of the movement. Fully extend your arms overhead, but don’t lock your elbows. Slowly reverse the movement by lowering the dumbbells back to the starting position, rotating your palms inward so they face your body again. Repeat and perform the desired number of repetitions.",https://www.jefit.com/exercises/25/dumbbell-seated-arnold-press
Exercise Ball,stability-ball-crunch,"Stability Ball Crunch Abs / Exercise Ball The Stability Ball Crunch is a great exercise for targeting your abdominal muscles while also engaging your stabilizing muscles. Here’s a step-by-step guide on how to perform this exercise correctly: Starting Position: Make sure you have a stability ball that is the appropriate size for your height. Sit on the stability ball with your feet flat on the floor, hip-width apart. Walk Forward: Slowly walk your feet forward and let the ball roll beneath your lower back. Continue until your lower and mid-back are resting on the ball, and your thighs are parallel to the floor. Position Your Hands: Place your hands behind your head, lightly supporting it. Avoid pulling on your neck. Engage Your Core: Tighten your abdominal muscles to stabilize your body on the ball. Performing the Exercise Using your abdominal muscles, lift your upper body towards your hips. Your lower back should remain in contact with the ball throughout the movement. Exhale as you crunch upward. Pause and Squeeze: At the top of the movement, pause briefly and squeeze your abs for a stronger contraction. Lower Down: Slowly lower your upper body back to the starting position, maintaining tension in your abs and keeping your lower back on the ball. Inhale as you lower your body back down. Continue the Movement: Repeat the crunching motion for the desired number of repetitions.",https://www.jefit.com/exercises/60/stability-ball-crunch
Exercise Ball,stability-ball-trunk-rotation,"Stability Ball Trunk Rotation Abs / Exercise Ball Steps : 1.) To begin this exercise; take a stability ball and hold it straight out in front of your chest. 2.) Then twist your upper body side to side, tightening your abdominals when reaching each side. 3.) Repeat this exercise for as many repetitions as needed.",https://www.jefit.com/exercises/346/stability-ball-trunk-rotation
Exercise Ball,stability-ball-pull-in,"Stability Ball Pull-In Abs / Exercise Ball The Stability Ball Pull-In, also known as the Swiss Ball Jackknife, is a great exercise for targeting the core, particularly the lower abs, and also engages the shoulders, chest, and hip flexors. Here’s a step-by-step guide on how to perform the movement correctly: Starting Position: Begin in a push-up position with your hands shoulder-width apart on the floor and your shins resting on top of a stability ball. Your body should form a straight line from head to heels. Ensure that your core is engaged, and your body is stable. Execution: Tighten your core muscles to maintain stability and balance. Pull Knees In: Slowly pull your knees towards your chest, rolling the stability ball forward with your feet. Aim to bring your knees as close to your chest as possible without lifting your hips too high. Exhale as you pull your knees in. Top Position: Pause briefly at the top of the movement, ensuring your core is fully engaged and your back remains straight. Your hips should be slightly elevated, and your knees close to your chest. Returning to Start: Slowly extend your legs back to the starting push-up position, rolling the stability ball back with control. Inhale as you return to the starting position.",https://www.jefit.com/exercises/62/stability-ball-pull-in
Exercise Ball,stability-ball-hamstring-curl-to-bridge,"Stability Ball Hamstring Curl to Bridge Glutes / Exercise Ball Steps : 1.) Start by laying flat on your back with both feet on an exercise ball, keeping your arms flat on the floor by your side. 2.) Bend your your knees and curl your heels toward your glutes, then kick up one leg diagonally. 3.) Hold this position for a few seconds then return back to the starting position. 4.) Repeat with the opposite leg for as many reps and sets as desired.",https://www.jefit.com/exercises/638/stability-ball-hamstring-curl-to-bridge
Exercise Ball,stability-ball-weighted-sit-up,Stability Ball Weighted Sit-Up Abs / Exercise Ball Steps : 1.) Start by setting up a bench horizontally or something to rest your feet against in front of an exercise ball and then sit down on the ball with a weight plate against your chest. 2.) Then slowly lift the weight above your head and lower yourself down until your shoulder blades start to touch the ball and you feel a stretch in your lower abs. 3.) Hold this position for a count then return back to the starting position. 4.) Repeat for as many reps and sets as desired.,https://www.jefit.com/exercises/1004/stability-ball-weighted-sit-up
Exercise Ball,stability-ball-dumbbell-sit-up,"Stability Ball Dumbbell Sit-Up Abs / Exercise Ball Steps : 1.) Start off by lying with the small of your back on an exercise ball with a single dumbbell held in your hands on your chest. 2.) Keeping yourself balanced on the ball, bring in your abdominals towards your spine. 3.) While squeezing your abs, bring your torso in an upright motion so that you are in a sit up position on the exercise ball. 4.) Then return back down to the starting position and repeat for as many reps and sets as possible.",https://www.jefit.com/exercises/593/stability-ball-dumbbell-sit-up
Exercise Ball,stability-ball-plank,"Stability Ball Plank Abs / Exercise Ball Steps : 1.) Start by laying with your forearms placed upon an exercise ball with your fingers interlaced and extending your legs out behind you so that your toes are rested upon the floor. 2.) Keep your body straight out and hold onto this position for as long as possible. 3.) Repeat for as many reps, sets and however long as desired.",https://www.jefit.com/exercises/979/stability-ball-plank
Exercise Ball,stability-ball-pike-push-up-,"Stability Ball Pike Push-Up Chest / Exercise Ball Steps : 1.) Start off in a pike position with your toes firmly planted on an exercise ball with your hands in a push-up position right in front. 2.) When balanced, slowly do push-ups by lowering your body towards the floor in a pike position. 3.) Return back up to the starting position and repeat for as many reps and sets as desired.",https://www.jefit.com/exercises/651/stability-ball-pike-push-up-
Exercise Ball,stability-ball-crunch,"Stability Ball Crunch Abs / Exercise Ball The crunches with legs on an exercise ball works the core muscles through the use of an exercise ball. Steps : 1.) Start by lying on your back, placing your feet up on an exercise ball, and positioning your hands across your chest or on either side of your head. 2.) Keeping the small of your back on the floor, raise your head, shoulders and chest up and off the floor. 3.) Pause for a moment contracting your abs and then return to the starting position. 4.) Repeat for as many reps and sets as desired.",https://www.jefit.com/exercises/301/stability-ball-crunch
Exercise Ball,stability-ball-back-extension,"Stability Ball Back Extension Back / Exercise Ball The back extension on a stability ball exercise helps provide flexibility to strengthen the back and core muscles. Steps : 1.) Start off lying prone on a stability ball with your toes planted firmly on the floor to help provide balance on the ball. 2.) With your hands across your chest or at your ears, raise your chest off the ball so you are hyper-extending your spine. 3.) Slowly return your chest to the ball. 4.) Repeat for as many reps and sets as desired.",https://www.jefit.com/exercises/192/stability-ball-back-extension
Exercise Ball,stability-ball-hip-thrust-,"Stability Ball Hip Thrust Glutes / Exercise Ball Steps : 1.) Start by sitting on an exercise ball and slowly walk your feet out and lay with your back on the ball. 2.) Keeping your shoulders and head on the exercise ball, cross your arms across your chest. 3.) Lift your hips up slowly in a smooth motion, holding for a few seconds then return back to the starting position. 4.) Repeat for as many sets and reps as desired.",https://www.jefit.com/exercises/614/stability-ball-hip-thrust-
Exercise Ball,stability-ball-push-up,"Stability Ball Push-Up Chest / Exercise Ball The push up with your feet on a stability ball is similar to the standard pushup exercise that forces you to engage the muscles of your core to perform the exercise. Steps : 1.) Start by placing your feet and your shins flat on top of an exercise ball and then positioning your arms in front of you shoulder-width distance apart with your hands under your arms. 2.) Once in position, press up from the ground until your arms are fully extended as this will be your starting position. 3.) Slowly lower your body towards the ground until you feel a stretch in your tricep muscles and hold for a count. 4.) Return back up to the starting position and repeat for as many reps and sets as desired.",https://www.jefit.com/exercises/173/stability-ball-push-up
Exercise Ball,stability-ball-leg-lift,"Stability Ball Leg Lift Abs / Exercise Ball Steps : 1.) Begin by laying down with your back with your legs extended and an exercise ball in between your feet and hands kept at your sides. 2.) Once in position slowly raise your legs up off of the floor and bring the ball up towards the ceiling. 3.) Hold onto this position for a few seconds then return back to the starting position, squeezing your core throughout the entire motion. 4.) Repeat for as many reps and sets as desired.",https://www.jefit.com/exercises/739/stability-ball-leg-lift
Exercise Ball,stability-ball-hand-and-foot-exchange,"Stability Ball Hand and Foot Exchange Abs / Exercise Ball Steps : 1.) Start by laying on your back with your arms and feet extended out with an exercise held in between your feet. 2.) Once in position slowly bring your upper and lower body together at the same time, squeezing with your core, and once reaching the top of the movement transfer the ball from your feet to your hands. 3.) After the transfer slowly move back to the original starting position with the ball still kept in your hands extended out and your legs kept straight out. 4.) Repeat for as many reps and sets as desired.",https://www.jefit.com/exercises/738/stability-ball-hand-and-foot-exchange
Exercise Ball,stability-ball-wall-squat,Stability Ball Wall Squat Upper Legs / Exercise Ball Steps : 1.) Start by setting up an exercise ball against the wall and leaning your back up against the ball so it is positioned in the middle of your body. 2.) Slowly lower your body towards the ground so that your thighs are parallel with the ground and your upper back and head are rested on the exercise ball. 3.) Hold for a count then return back to the starting position. 4.) Repeat for as many reps and sets as desired.,https://www.jefit.com/exercises/1205/stability-ball-wall-squat
Exercise Ball,stability-ball-incline-ab-crunch,"Stability Ball Incline Ab Crunch Abs / Exercise Ball Steps : 1.) Start off by lying on an exercise ball with your lower back, keeping your legs bent on the floor in front of you, and arms crossed on your chest. 2.) Then take your abs and pull your ribs down towards your hips, squeezing in on your abdominals so that you feel tension and a stretch. 3.) Return back to the starting position and repeat for as many reps and sets as you can perform.",https://www.jefit.com/exercises/587/stability-ball-incline-ab-crunch
Exercise Ball,dumbbell-french-press-stability-ball,Dumbbell French Press (Stability Ball) Triceps / Exercise Ball Steps : 1.) Start by sitting on an exercise ball with a dumbbell in each hand. 2.) Slowly roll down making sure that your head and shoulders are on the ball and your feet are planted firmly on the floor in front of you. 3.) Extend the dumbbell behind your head with bent elbows and hold. 4.) Then push the weight to the ceiling until your arm is fully extended then return the dumbbell back to the starting position. 5.) Repeat for as many reps and sets desired and switch with other arm.,https://www.jefit.com/exercises/634/dumbbell-french-press-stability-ball
Exercise Ball,stability-ball-bridge,"Stability Ball Bridge Abs / Exercise Ball Steps : 1.) Begin by laying supine (on your back) with your heels placed upon an exercise ball, keeping your arms flat at your sides. 2.) Contract your core muscles and raise your hips up off of the floor, making sure your hands stay firm on the ground, so that your body creates a line elevated upward. 3.) Hold this position for a few seconds then return back down to the starting position. 4.) Repeat for as many reps and sets as desired.",https://www.jefit.com/exercises/613/stability-ball-bridge
EZ Curl Bar,ez-bar-curl,"EZ Bar Curl Biceps / EZ Curl Bar The EZ-Bar Curl exercise uses either an EZ-bar or curl bar to help isolate the biceps and build bigger arms. Steps : 1.) Start by standing up straight with your feet shoulder-width apart and your knees slightly bend. 2.) Grab onto the barbell in front of you with an underhand (palms up) grip and lower the bar until it is up against your thighs as this will be your starting position. 3.) Making sure that you keep your elbows still, raise the bar slowly up towards your chest until your forearms touch your biceps, feel a stretch and squeeze in those muscles. 4.) Hold for a count then return back to the starting position. 5.) Repeat for as many reps and sets as desired. Tips : 1.) You can lean up against a wall or a post to prevent yourself from swaying thus making the exercise ineffective.",https://www.jefit.com/exercises/95/ez-bar-curl
EZ Curl Bar,ez-bar-tricep-extension,"EZ Bar Tricep Extension Triceps / EZ Curl Bar The EZ bar triceps extension exercise combines a decline bench and a curved bar to effectively work the tricep muscle. Steps : 1.) Start by lying face up on a decline bench and grasp an EZ Bar with an overhand grip. 2.) Extend your arms so they are perpendicular to your chest, keeping your elbows in one place, and lower the bar toward your head. 3.) Hold the position for a count. 4.) Slowly return to the starting position and repeat for as many reps and sets as desired.",https://www.jefit.com/exercises/221/ez-bar-tricep-extension
EZ Curl Bar,ez-bar-decline-close-grip-skull-crusher,"EZ Bar Decline Close Grip Skull Crusher Triceps / EZ Curl Bar The EZ bar decline close grip skull crusher exercise combines the close grip bench press with tricep extension to target the tricep muscle and build bigger arms. Steps : 1.) Start by lying with your back on a flat bench and gripping a barbell with a close grip, about 8-12 inches apart. 3.) Keeping your arms close to your sides lower the bar so it touches your chest. 4.) Slowly return to starting position, concentrating on your triceps. 5.) At the top of the exercise bend your arms down towards your head. 6.) Raise the bar back up over your chest and repeat.",https://www.jefit.com/exercises/223/ez-bar-decline-close-grip-skull-crusher
EZ Curl Bar,ez-bar-preacher-curl-close-grip,"EZ Bar Preacher Curl (Close Grip) Biceps / EZ Curl Bar Steps : 1.) Start by setting up either weighted EZ bar with the weight that you would like to use to perform this exercise. 2.) Then sit down on the bench with your feet flat on the floor and arms extended out grabbing onto the bar with a close underhand grip. 3.) Slowly curl the bar up towards your shoulders, isolating and squeezing your shoulders, and hold for a count. 4.) Return back to the starting position. 5.) Repeat for as many reps and sets as desired.",https://www.jefit.com/exercises/1299/ez-bar-preacher-curl-close-grip
EZ Curl Bar,ez-bar-curl-reverse-grip,"EZ Bar Curl (Reverse Grip) Forearms / EZ Curl Bar Steps : 1.) Start by standing up straight with your feet shoulder width apart and holding a weighted EZ Bar in your hands at waist level in a reverse grip. 2.) Slowly elevate the bar up towards your shoulders, squeezing your forearms and hold for a count. 3.) Return back to the starting position. 4.) Repeat for as many reps and sets as desired.",https://www.jefit.com/exercises/1074/ez-bar-curl-reverse-grip
EZ Curl Bar,ez-bar-close-grip-curl,"EZ Bar Close Grip Curl Biceps / EZ Curl Bar The EZ bar close grip curl uses an ez bar to isolate the bicep muscles. Steps : 1.) Start by standing up straight with your feet shoulder width apart, knees slightly bent and abs drawn in. 2.) Grab an EZ bar with an underhand close grip on the inner-most part of the bar. 3.) Extend your arms fully against your thighs. 4.) Keeping your elbows straight, raise the bar towards your chest, squeezing your biceps as much as possible. 5.) Pause for moment and then return to the starting position. 6.) Repeat for as many reps and sets as desired.",https://www.jefit.com/exercises/307/ez-bar-close-grip-curl
EZ Curl Bar,ez-bar-french-press,"EZ Bar French Press Triceps / EZ Curl Bar Steps : 1.) Start by taking a weighted EZ Bar and grabbing it with a neutral grip. 2.) Elevate the bar over the top of your head so that your arms are straight and keeping a strong grip on the bar. 3.) Slowly lower the bar behind your head, bending at the elbows, so that it goes down in a back and semi-circular motion. 4.) Squeeze the triceps as you lower the bar down and then hold for a count. 5.) Return back to the starting position and repeat for as many reps and sets as desired.",https://www.jefit.com/exercises/1316/ez-bar-french-press
EZ Curl Bar,ez-bar-incline-tricep-extension,"EZ Bar Incline Tricep Extension Triceps / EZ Curl Bar The EZ Bar incline triceps extension exercise is a version of the triceps extension that uses gravity to increase the resistance of the exercise. Steps : 1.) Start by grabbing onto a barbell with a close grip (4 to 6 inches apart) and lie on an incline bench, holding the barbell over your head, as this will be your starting position. 2.) Slowly lower your arms in an arc until your forearms touch your biceps and you feel a stretch in your tricep muscles. 3.) Hold this position for a count then return back up to the starting position. 4.) Repeat for as many reps and sets as you desire.",https://www.jefit.com/exercises/147/ez-bar-incline-tricep-extension
EZ Curl Bar,ez-bar-tricep-extension-close-grip,"EZ Bar Tricep Extension (Close Grip) Triceps / EZ Curl Bar The EZ bar lying close-grip triceps extension behind the head exercise helps further concentrate on targeting the tricep muscles and building bigger arms. Steps : 1.) Start by lying flat on a bench with your head at one end and feet planted on the floor on the other end. 2.) Grab an ez-bar or barbell with a grip about 8 inches apart and lower the bar behind your head. 3.) Keeping the bar parallel with the floor, bend your arms down in an arc so the bar moves in a direction under your head. 4.) Slowly return to starting position. 5.) Repeat for as many reps and sets as desired.",https://www.jefit.com/exercises/231/ez-bar-tricep-extension-close-grip
EZ Curl Bar,ez-bar-bent-over-row-reverse-grip,"EZ Bar Bent-Over Row (Reverse Grip) Back / EZ Curl Bar Steps : 1.) Start by setting up an EZ bar with as much weight as you can handle and placing it in front of you, keeping your feet shoulder width apart and arms at your sides. 2.) Squat down and grab onto the bar with a reverse grip, then while keeping your back straight, stand up so that you are holding the bar against your waist. 3.) Slightly bend your knees, keep your back straight, then let the barbell slowly lower beneath your knees. 4.) Slowly pull the bar back up just below your chest, squeezing with your back and feeling a stretch, then hold for a count and return back to the starting position. 5.) Repeat for as many reps and set as desired.",https://www.jefit.com/exercises/1035/ez-bar-bent-over-row-reverse-grip
